codigo_mesa,candidato,votos
100036,Candidato_B,80
100036,Candidato_C,74
100036,BLANCO,10
100036,NULO,2
100037,Candidato_A,6
100037,Candidato_B,66
100037,Candidato_C,130
100037,BLANCO,6
100037,NULO,2
100038,Candidato_A,72
100038,Candidato_B,141
100038,Candidato_C,93
100038,BLANCO,24
100038,NULO,2
100039,Candidato_A,94
100039,Candidato_B,46
100039,Candidato_C,127
100039,BLANCO,22
100039,NULO,12
100040,Candidato_A,71
100040,Candidato_B,20
100040,Candidato_C,74
100040,BLANCO,14
100040,NULO,1
100041,Candidato_A,9
100041,Candidato_B,49
100041,Candidato_C,170
100041,BLANCO,16
100041,NULO,14
100042,Candidato_A,64
100042,Candidato_B,73
100042,Candidato_C,79
100042,BLANCO,4
100042,NULO,12
100043,Candidato_A,84
100043,Candidato_B,55
100043,Candidato_C,93
100043,BLANCO,14
100043,NULO,13
100044,Candidato_A,58
100044,Candidato_B,56
100044,Candidato_C,146
100044,BLANCO,15
100044,NULO,14
100045,Candidato_A,109
100045,Candidato_B,54
100045,Candidato_C,101
100045,BLANCO,24
100045,NULO,16
100046,Candidato_A,70
100046,Candidato_B,83
100046,Candidato_C,141
100046,BLANCO,9
100046,NULO,7
100047,Candidato_A,116
100047,Candidato_B,46
100047,Candidato_C,67
100047,BLANCO,4
100047,NULO,3
100048,Candidato_A,119
100048,Candidato_B,91
100048,Candidato_C,46
100048,BLANCO,13
100048,NULO,10
100049,Candidato_A,54
100049,Candidato_B,65
100049,Candidato_C,81
100049,BLANCO,12
100049,NULO,12
100050,Candidato_A,1
100050,Candidato_B,72
100050,Candidato_C,156
100050,BLANCO,12
100050,NULO,7
100051,Candidato_A,75
100051,Candidato_B,103
100051,Candidato_C,114
100051,BLANCO,26
100051,NULO,13
100052,Candidato_A,50
100052,Candidato_B,90
100052,Candidato_C,74
100052,BLANCO,15
100052,NULO,3
100053,Candidato_A,77
100053,Candidato_B,89
100053,Candidato_C,100
100053,BLANCO,21
100053,NULO,12
100054,Candidato_A,99
100054,Candidato_B,64
100054,Candidato_C,73
100054,BLANCO,17
100054,NULO,0
100055,Candidato_A,133
100055,Candidato_B,28
100055,Candidato_C,41
100055,BLANCO,13
100055,NULO,2
100056,Candidato_A,51
100056,Candidato_B,120
100056,Candidato_C,61
100056,BLANCO,6
100056,NULO,14
100057,Candidato_A,76
100057,Candidato_B,121
100057,Candidato_C,10
100057,BLANCO,8
100057,NULO,1
100058,Candidato_A,13
100058,Candidato_B,192
100058,Candidato_C,9
100058,BLANCO,7
100058,NULO,10
100059,Candidato_A,88
100059,Candidato_B,65
100059,Candidato_C,26
100059,BLANCO,3
100059,NULO,3
100060,Candidato_A,123
100060,Candidato_B,60
100060,Candidato_C,34
100060,BLANCO,3
100060,NULO,9
100061,Candidato_A,82
100061,Candidato_B,101
100061,Candidato_C,17
100061,BLANCO,5
100061,NULO,9
100062,Candidato_A,50
100062,Candidato_B,81
100062,Candidato_C,51
100062,BLANCO,9
100062,NULO,1
100063,Candidato_A,12
100063,Candidato_B,117
100063,Candidato_C,109
100063,BLANCO,12
100063,NULO,6
100064,Candidato_A,58
100064,Candidato_B,69
100064,Candidato_C,70
100064,BLANCO,9
100064,NULO,13
100065,Candidato_A,101
100065,Candidato_B,125
100065,Candidato_C,14
100065,BLANCO,1
100065,NULO,11
100066,Candidato_A,140
100066,Candidato_B,135
100066,Candidato_C,18
100066,BLANCO,10
100066,NULO,0
100067,Candidato_A,86
100067,Candidato_B,53
100067,Candidato_C,90
100067,BLANCO,20
100067,NULO,14
100068,Candidato_A,63
100068,Candidato_B,113
100068,Candidato_C,82
100068,BLANCO,8
100068,NULO,15
100069,Candidato_A,38
100069,Candidato_B,62
100069,Candidato_C,105
100069,BLANCO,7
100069,NULO,1
100070,Candidato_A,63
100070,Candidato_B,4
100070,Candidato_C,143
100070,BLANCO,19
100070,NULO,10
100071,Candidato_A,85
100071,Candidato_B,62
100071,Candidato_C,69
100071,BLANCO,15
100071,NULO,3
100072,Candidato_A,113
100072,Candidato_B,105
100072,Candidato_C,39
100072,BLANCO,22
100072,NULO,8
100073,Candidato_A,77
100073,Candidato_B,33
100073,Candidato_C,68
100073,BLANCO,13
100073,NULO,7
100074,Candidato_A,173
100074,Candidato_B,20
100074,Candidato_C,50
100074,BLANCO,15
100074,NULO,14
100075,Candidato_A,109
100075,Candidato_B,60
100075,Candidato_C,92
100075,BLANCO,7
100075,NULO,9
100076,Candidato_A,83
100076,Candidato_B,53
100076,Candidato_C,69
100076,BLANCO,13
100076,NULO,11
100077,Candidato_A,57
100077,Candidato_B,92
100077,Candidato_C,59
100077,BLANCO,8
100077,NULO,3
100078,Candidato_A,41
100078,Candidato_B,160
100078,Candidato_C,62
100078,BLANCO,22
100078,NULO,5
100079,Candidato_A,107
100079,Candidato_B,91
100079,Candidato_C,34
100079,BLANCO,16
100079,NULO,9
100080,Candidato_A,3
100080,Candidato_B,139
100080,Candidato_C,73
100080,BLANCO,5
100080,NULO,4
100081,Candidato_A,83
100081,Candidato_B,15
100081,Candidato_C,104
100081,BLANCO,17
100081,NULO,4
100082,Candidato_A,99
100082,Candidato_B,80
100082,Candidato_C,77
100082,BLANCO,3
100082,NULO,0
100083,Candidato_A,100
100083,Candidato_B,51
100083,Candidato_C,89
100083,BLANCO,1
100083,NULO,4
100084,Candidato_A,82
100084,Candidato_B,97
100084,Candidato_C,23
100084,BLANCO,15
100084,NULO,1
100085,Candidato_A,122
100085,Candidato_B,14
100085,Candidato_C,96
100085,BLANCO,9
100085,NULO,1
100086,Candidato_A,86
100086,Candidato_B,42
100086,Candidato_C,101
100086,BLANCO,19
100086,NULO,7
100087,Candidato_A,69
100087,Candidato_B,7
100087,Candidato_C,118
100087,BLANCO,13
100087,NULO,4
100088,Candidato_A,37
100088,Candidato_B,116
100088,Candidato_C,28
100088,BLANCO,6
100088,NULO,10
100089,Candidato_A,0
100089,Candidato_B,80
100089,Candidato_C,106
100089,BLANCO,2
100089,NULO,2
100090,Candidato_A,40
100090,Candidato_B,39
100090,Candidato_C,120
100090,BLANCO,1
100090,NULO,3
100091,Candidato_A,65
100091,Candidato_B,55
100091,Candidato_C,45
100091,BLANCO,10
100091,NULO,3
100092,Candidato_A,61
100092,Candidato_B,120
100092,Candidato_C,80
100092,BLANCO,6
100092,NULO,13
100093,Candidato_A,8
100093,Candidato_B,114
100093,Candidato_C,87
100093,BLANCO,4
100093,NULO,1
100094,Candidato_A,19
100094,Candidato_B,105
100094,Candidato_C,108
100094,BLANCO,9
100094,NULO,7
100095,Candidato_A,164
100095,Candidato_B,26
100095,Candidato_C,14
100095,BLANCO,16
100095,NULO,8
100096,Candidato_A,42
100096,Candidato_B,15
100096,Candidato_C,164
100096,BLANCO,10
100096,NULO,9
100097,Candidato_A,117
100097,Candidato_B,79
100097,Candidato_C,33
100097,BLANCO,18
100097,NULO,0
100098,Candidato_A,39
100098,Candidato_B,54
100098,Candidato_C,78
100098,BLANCO,12
100098,NULO,2
100099,Candidato_A,116
100099,Candidato_B,90
100099,Candidato_C,17
100099,BLANCO,18
100099,NULO,6
100100,Candidato_A,105
100100,Candidato_B,34
100100,Candidato_C,53
100100,BLANCO,13
100100,NULO,5
